detector_name,route,direction,lat,lon,lane
2504,I-35E,SB,45.00205,-93.08971,0
2435,I-35E,SB,45.00498,-93.08975,1
2436,I-35E,SB,45.00498,-93.08975,2
2437,I-35E,SB,45.00498,-93.08975,3
7551,I-35E,SB,45.00498,-93.08975,4
2434,I-35E,SB,45.00805,-93.08979,0
2441,I-35E,SB,45.00805,-93.08979,0
4526,I-35E,SB,45.00805,-93.08979,0
2433,I-35E,SB,45.01144,-93.08985,0
2439,I-35E,SB,45.01144,-93.08985,0
2440,I-35E,SB,45.01144,-93.08985,0
4525,I-35E,SB,45.01144,-93.08985,0
2430,I-35E,SB,45.01198,-93.08986,1
2431,I-35E,SB,45.01198,-93.08986,2
2432,I-35E,SB,45.01198,-93.08986,3
7552,I-35E,SB,45.01198,-93.08986,4
2424,I-35E,SB,45.0199,-93.08991,0
2429,I-35E,SB,45.0199,-93.08991,0
4524,I-35E,SB,45.0199,-93.08991,0
2426,I-35E,SB,45.02319,-93.08987,1
2427,I-35E,SB,45.02319,-93.08987,2
2428,I-35E,SB,45.02319,-93.08987,3
5501,I-35E,SB,45.02319,-93.08987,4
2425,I-35E,SB,45.02595,-93.08983,0
6578,I-35E,SB,45.02897,-93.08988,1
6579,I-35E,SB,45.02897,-93.08988,2
6580,I-35E,SB,45.02897,-93.08988,3
5496,I-35E,SB,45.03081,-93.09003,1
5497,I-35E,SB,45.03081,-93.09003,2
5498,I-35E,SB,45.03386,-93.08866,1
5499,I-35E,SB,45.03386,-93.08866,2
5500,I-35E,SB,45.03386,-93.08866,3
5492,I-35E,SB,45.03824,-93.06382,1
5493,I-35E,SB,45.03824,-93.06382,2
5494,I-35E,SB,45.03824,-93.06382,3
7828,I-35E,SB,45.03824,-93.06382,1
7829,I-35E,SB,45.03824,-93.06382,2
7830,I-35E,SB,45.03824,-93.06382,3
5495,I-35E,SB,45.04066,-93.06192,0
4966,I-35E,SB,45.04792,-93.06006,0
5486,I-35E,SB,45.04792,-93.06006,0
5487,I-35E,SB,45.04792,-93.06006,0
5488,I-35E,SB,45.04792,-93.06006,0
5489,I-35E,SB,45.04967,-93.05933,1
5490,I-35E,SB,45.04967,-93.05933,2
5491,I-35E,SB,45.04967,-93.05933,3
6444,I-35E,SB,45.05212,-93.05847,0
6442,I-35E,SB,45.05731,-93.05746,1
6443,I-35E,SB,45.05731,-93.05746,2
7707,I-35E,SB,45.05731,-93.05746,3
6440,I-35E,SB,45.06469,-93.05569,1
6441,I-35E,SB,45.06469,-93.05569,2
7706,I-35E,SB,45.06469,-93.05569,3
6438,I-35E,SB,45.07421,-93.0528,1
6439,I-35E,SB,45.07421,-93.0528,2
7705,I-35E,SB,45.07421,-93.0528,3
4965,I-35E,SB,45.078,-93.05287,0
6356,I-35E,SB,45.078,-93.05287,0
6437,I-35E,SB,45.078,-93.05287,0
6435,I-35E,SB,45.07921,-93.05293,1
6436,I-35E,SB,45.07921,-93.05293,2
6434,I-35E,SB,45.081,-93.05305,0
6432,I-35E,SB,45.08938,-93.05266,1
6433,I-35E,SB,45.08938,-93.05266,2
6430,I-35E,SB,45.09414,-93.05218,1
6431,I-35E,SB,45.09414,-93.05218,2
6428,I-35E,SB,45.10438,-93.05026,1
6429,I-35E,SB,45.10438,-93.05026,2
6426,I-35E,SB,45.10875,-93.0495,1
6427,I-35E,SB,45.10875,-93.0495,2
6424,I-35E,SB,45.11696,-93.04974,1
6425,I-35E,SB,45.11696,-93.04974,2
4974,I-35E,SB,45.12133,-93.04985,0
