detector_id,name,route,direction,lat,lon,lane
657,Mainline sensor,I-94,EB,45.07574,-93.33163,1
658,Mainline sensor,I-94,EB,45.07574,-93.33163,2
659,Mainline sensor,I-94,EB,45.07574,-93.33163,3
666,Mainline sensor,I-94,EB,45.06998,-93.3047,2
667,Mainline sensor,I-94,EB,45.06998,-93.3047,3
686,Mainline sensor,I-94,EB,45.06915,-93.29331,2
687,Mainline sensor,I-94,EB,45.04424,-93.28481,1
688,Mainline sensor,I-94,EB,45.04424,-93.28481,2
689,Mainline sensor,I-94,EB,45.04424,-93.28481,3
690,Mainline sensor,I-94,EB,45.04424,-93.28481,4
691,Mainline sensor,I-94,EB,45.06915,-93.29331,3
696,Mainline sensor,I-94,EB,45.02409,-93.28476,1
697,Mainline sensor,I-94,EB,45.02409,-93.28476,2
698,Mainline sensor,I-94,EB,45.02409,-93.28476,3
699,Mainline sensor,I-94,EB,45.02409,-93.28476,4
703,Mainline sensor,I-94,EB,44.99898,-93.28297,1
704,Mainline sensor,I-94,EB,44.99898,-93.28297,2
705,Mainline sensor,I-94,EB,44.99898,-93.28297,3
706,Mainline sensor,I-94,EB,44.99898,-93.28297,4
714,Mainline sensor,I-94,EB,44.9886,-93.28852,4
715,Mainline sensor,I-94,EB,44.9886,-93.28852,5
720,Mainline sensor,I-94,EB,44.98406,-93.28788,2
721,Mainline sensor,I-94,EB,44.98406,-93.28788,3
727,Mainline sensor,I-94,EB,44.9768,-93.28761,1
728,Mainline sensor,I-94,EB,44.9768,-93.28761,2
730,Mainline sensor,I-94,EB,44.97475,-93.28761,1
731,Mainline sensor,I-94,EB,44.97475,-93.28761,2
900,Mainline sensor,I-94,EB,45.10412,-93.45973,1
901,Mainline sensor,I-94,EB,45.10412,-93.45973,2
902,Mainline sensor,I-94,EB,45.10412,-93.45973,3
908,Mainline sensor,I-94,EB,45.09991,-93.45461,2
909,Mainline sensor,I-94,EB,45.09991,-93.45461,3
917,Mainline sensor,I-94,EB,45.09127,-93.44562,1
918,Mainline sensor,I-94,EB,45.09127,-93.44562,2
925,Mainline sensor,I-94,EB,45.08917,-93.42906,2
926,Mainline sensor,I-94,EB,45.08917,-93.42906,3
935,Mainline sensor,I-94,EB,45.08649,-93.4153,2
938,Mainline sensor,I-94,EB,45.08375,-93.40459,2
939,Mainline sensor,I-94,EB,45.08375,-93.40459,3
950,Mainline sensor,I-94,EB,45.07877,-93.38873,1
951,Mainline sensor,I-94,EB,45.07877,-93.38873,2
952,Mainline sensor,I-94,EB,45.07877,-93.38873,3
959,Mainline sensor,I-94,EB,45.07816,-93.3786,1
960,Mainline sensor,I-94,EB,45.07816,-93.3786,2
971,Mainline sensor,I-94,EB,45.07616,-93.35672,1
972,Mainline sensor,I-94,EB,45.07616,-93.35672,2
976,Mainline sensor,I-94,EB,45.07583,-93.3432,1
977,Mainline sensor,I-94,EB,45.07583,-93.3432,2
983,Mainline sensor,I-94,EB,45.07425,-93.31939,1
984,Mainline sensor,I-94,EB,45.07425,-93.31939,2
985,Mainline sensor,I-94,EB,45.07425,-93.31939,3
1155,Mainline sensor,I-94,EB,45.08917,-93.42906,4
1459,Mainline sensor,I-94,EB,45.07816,-93.3786,3
1891,Mainline sensor,I-94,EB,44.95357,-93.09336,1
1892,Mainline sensor,I-94,EB,44.95357,-93.09336,2
1893,Mainline sensor,I-94,EB,44.95357,-93.09336,3
2485,Mainline sensor,I-94,EB,44.95033,-93.10403,1
2486,Mainline sensor,I-94,EB,44.95033,-93.10403,2
2487,Mainline sensor,I-94,EB,44.95033,-93.10403,3
2579,Mainline sensor,I-94,EB,45.07616,-93.35672,3
2582,Mainline sensor,I-94,EB,45.08375,-93.40459,4
2585,Mainline sensor,I-94,EB,45.07877,-93.38873,3
2601,Mainline sensor,I-94,EB,44.96544,-93.26478,1
2602,Mainline sensor,I-94,EB,44.96544,-93.26478,2
2603,Mainline sensor,I-94,EB,44.96544,-93.26478,3
2606,Mainline sensor,I-94,EB,44.96565,-93.25434,1
2607,Mainline sensor,I-94,EB,44.96565,-93.25434,2
2608,Mainline sensor,I-94,EB,44.96565,-93.25434,3
2612,Mainline sensor,I-94,EB,44.96518,-93.24628,2
2613,Mainline sensor,I-94,EB,44.96518,-93.24628,3
2614,Mainline sensor,I-94,EB,44.96518,-93.24628,4
2618,Mainline sensor,I-94,EB,44.96445,-93.22971,2
2619,Mainline sensor,I-94,EB,44.96445,-93.22971,3
2620,Mainline sensor,I-94,EB,44.96716,-93.22223,1
2621,Mainline sensor,I-94,EB,44.96716,-93.22223,2
